PROGRAM TYPE,PROGRAM,SITE NAME,Address,BOROUGH / COMMUNITY,Postcode,AGENCY,Contact Number,Grade Level / Age Group ,Location 1,Latitude,Longitude,Community Board,Community Council ,Census Tract,BIN,BBL,NTA
"Jobs & Internships, Youth Employment",Summer Youth Employment ,New York City Housing Authority - Bronx,350 Livingston Street,Bronx,10007,New York City Housing Authority - Bronx,212-306-3985,14 to 24,"350 Livingston Street10007
(40.713630519433, -74.009131383706)",40.71363052,-74.00913138,,,,,,
Jobs & Internships,Youth Employment,Rockaway Development & Revitalization Corporation,1920 Mott Avenue,Queens,11691,Rockaway Development & Revitalization Corporation,718.327.5300,HS,"1920 Mott Avenue11691
(40.603879525424, -73.752178931552)",40.603907,-73.752262,14,31,"103,202","4,457,760","4,155,590,012",Far Rockaway-Bayswater                                                     
Jobs & Internships,In-School Youth Employment (ISY),Grace Dodge Vocational High School - H.S. 660,2474 Crotona Avenue,Bronx,10458,"Mid-Bronx Council Services, Inc.",718.588.8200,,"2474 Crotona Avenue10458
(40.855980373909, -73.882553507192)",40.855698,-73.882715,6,15,393,"2,012,887","2,031,040,007",Belmont                                                                    
Jobs & Internships,In-School Youth Employment (ISY),"Beth Chana, Ltd",712 Bedford Avenue,Brooklyn,11222,National Society For Hebrew Day Schools,212.227.1000,,"712 Bedford Avenue11222
(40.728253121784, -73.947159783197)",40.699547,-73.957145,1,33,537,"3,392,365","3,022,620,024",Williamsburg                                                               
Jobs & Internships,Youth Employment,Harlem RBI (Reviving Baseball in Inner Cities),333 East 100 Street,New York,10029,Harlem RBI (Reviving Baseball in Inner Cities),212.722.1608,MS/HS,"333 100 Street10029
(40.786495147586, -73.944398806435)",40.786209,-73.943789,11,8,164,"1,087,440","1,016,720,017",East Harlem South                                                          
Jobs & Internships,Out-of-School Youth Employment (OSY),International Sheet Metal Workers Local Union 28 (intake site),470 Park Avenue South,New York,10016,International Sheet Metal Workers Local Union 28,212.732.7897,16 to 21,"470 Park Avenue10016
(40.745413989719, -73.982708667456)",40.745492,-73.982515,5,2,74,"1,080,788","1,008,610,044",Midtown-Midtown South                                                      
Jobs & Internships,In-School Youth Employment (ISY),"Greater Ridgewood Youth Council, Inc.",62-04 Myrtle Avenue,Queens,11385,"Greater Ridgewood Youth Council, Inc.",718.456.5437,,"62 04 Myrtle Avenue11385
(40.701224891615, -73.88334858437)",40.700894,-73.893211,5,30,577,"4,437,849","4,035,930,001",Glendale                                                                   
Jobs & Internships,In-School Youth Employment (ISY),Intermediate School 168 - Parsons School,158-40 76th Road,Queens,11366,Queens Child Guidance Center,718.651.7770,,"158 40 76th Road11366
(40.728164407262, -73.792268173937)",40.724458,-73.810216,8,24,"1,257","4,147,847","4,068,260,001",Kew Gardens Hills                                                          
Jobs & Internships,Youth Employment,"Project Care of Brooklyn, Inc",164 Clymer Street,Brooklyn,11211,"Project Care of Brooklyn, Inc",718.387.4500,HS,"164 Clymer Street11211
(40.706632200839, -73.963450637046)",40.706902,-73.963077,1,33,535,"3,059,866","3,021,730,016",Williamsburg                                                               
"Jobs & Internships, Youth Employment",Summer Youth Employment ,"Greater Ridgewood Youth Council, Inc.",62-04 Myrtle Avenue,Queens,11385,"Greater Ridgewood Youth Council, Inc.",718-456-5437  x232,14 to 24,"62 04 Myrtle Avenue11385
(40.701224891615, -73.88334858437)",40.700894,-73.893211,5,30,577,"4,437,849","4,035,930,001",Glendale                                                                   
"Jobs & Internships, Youth Employment",Summer Youth Employment ,All City Leadership School,1474 Gates Avenue,Brooklyn,11237,Ridgewood Bushwick Senior Citizens Council,718-381-9653 ,14 to 24,"1474 Gates Avenue11237
(40.697840308647, -73.913832482461)",40.697788,-73.913906,4,37,433,"3,387,654","3,033,440,016",Bushwick North                                                             
Jobs & Internships,Youth Employment,St. Stephen Outreach,874 Myrtle Avenue,Brooklyn,11206,St. Stephen Outreach,718.384.8854,All grades,"874 Myrtle Avenue11206
(40.695576730553, -73.947239332629)",40.695579,-73.947375,3,36,"25,901","3,048,641","3,017,550,032",Bedford                                                                    
Jobs & Internships,In-School Youth Employment (ISY),Flushing High School - H.S. 460,35-01 Union Street,Queens,11354,"Sports & Arts In Schools Foundation, Inc.",718.786.7110,,"35 01 Union Street11354
(40.768620220647, -73.827190280707)",40.765166,-73.82789,7,20,"1,161","4,113,172","4,050,020,001",Flushing                                                                   
Jobs & Internships,In-School Youth Employment (ISY),"Harlem Children's Zone, Inc",35 East 125th Street,New York,10035,"Harlem Children's Zone, Inc",212.534.0700,,"35 125th Street10035
(40.805967509585, -73.941123653285)",40.805934,-73.941096,11,9,198,"1,087,811","1,017,500,007",East Harlem North                                                          
"Jobs & Internships, Youth Employment",Summer Youth Employment ,Community Association of Progressive Dominicans - Manhattan,2268 Amsterdam Avenue,Manhattan,10032,Community Association of Progressive Dominicans - Manhattan,212-781-4955,14 to 24,"2268 Amsterdam Avenue10032
(40.842949903797, -73.934721049241)",40.842691,-73.934876,12,10,253,"1,063,105","1,021,290,045",Washington Heights South                                                   
Jobs & Internships,In-School Youth Employment (ISY),"Jewish Community Council of Greater Coney Island, Inc.",3001 West 37th Street,Brooklyn,11224,"Jewish Community Council of Greater Coney Island, Inc.",718.449.5000,,"3001 37th Street11224
(40.573273749724, -74.002490640031)",40.573177,-74.002509,13,47,340,"3,189,617","3,070,650,001",Seagate-Coney Island                                                       
Jobs & Internships,In-School Youth Employment (ISY),Bedford Stuyvesant Restoration Corporation,1368 Fulton Street,Brooklyn,11216,Bedford Stuyvesant Restoration Corporation,718.636.6931,,"1368 Fulton Street11216
(40.680167097693, -73.94592248315)",40.680175,-73.945717,3,36,247,"3,053,786","3,018,620,014",Crown Heights North                                                        
Jobs & Internships,In-School Youth Employment (ISY),Intermediate School 93 - Ridgewood Intermediate School,66-56 Forest Avenue,Queens,11385,"Greater Ridgewood Youth Council, Inc.",718.456.5437,,"66 56 Forest Avenue11385
(40.701224891615, -73.88334858437)",40.706041,-73.902584,5,30,589,"4,083,511","4,034,900,001",Ridgewood                                                                  
Jobs & Internships,Youth Employment,Project Ready Headquarters,55 E. 175th Street,Bronx,10453,Mount Hope Housing Company,718.466.3600,MS/HS,"55 175th Street10453
(40.847312989377, -73.911364754436)",40.847256,-73.911295,5,14,"22,701","2,115,885","2,028,500,034",Mount Hope                                                                 
"Jobs & Internships, Youth Employment",Summer Youth Employment ,Queens OCFS,168-25 Jamaica Avenue,Queens,11432,"Henry Street Settlement, Inc. - Queens ",718-557-8861,14 to 24,"168 25 Jamaica Avenue11432
(40.71311535449, -73.792820999789)",40.706582,-73.791811,12,27,460,"4,209,641","4,097,990,001",Jamaica                                                                    
Jobs & Internships,Adult Employment,The Annex,2875 Broadway,New York,10027,Community Impact/Columbia University,212.854.2617,,"2875 Broadway10027
(40.811549564461, -73.952900335682)",40.805541,-73.966248,9,7,199,"1,057,330","1,018,940,052",Morningside Heights                                                        
"Jobs & Internships, Youth Employment",Summer Youth Employment ,South Bronx Overall Economic Development Corp.,555 Bergen Avenue,Bronx,10455,South Bronx Overall Economic Development Corp.,718-292-3113,14 to 24,"555 Bergen Avenue10455
(40.815944415254, -73.916415911483)",40.815959,-73.916354,1,17,71,"2,097,027","2,022,940,002",Melrose South-Mott Haven North                                             
Jobs & Internships,In-School Youth Employment (ISY),John F. Kennedy High School - H.S. 475,99 Terrace View Avenue,Bronx,10463,"Henkels & McCoy, Inc.",800.622.5577,,"99 Terrace View Avenue10463
(40.877210772674, -73.91213621129)",40.877105,-73.912256,8,10,309,"1,064,532","1,022,150,080",Marble Hill-Inwood                                                         
Jobs & Internships,Adult Employment,Rockaway Development & Revitalization Corporation,1920 Mott Avenue,Queens,11691,Rockaway Development & Revitalization Corporation,718.327.5300,,"1920 Mott Avenue11691
(40.603879525424, -73.752178931552)",40.603907,-73.752262,14,31,"103,202","4,457,760","4,155,590,012",Far Rockaway-Bayswater                                                     
Jobs & Internships,In-School Youth Employment (ISY),"Elmcor Youth and Adult Activities, Inc.",33-16 108th Street,Queens,11368,"Elmcor Youth & Adult Activities, Inc.",718.651.0096,,"33 16 108th Street11368
(40.749678220374, -73.853040688577)",40.757429,-73.860938,3,21,381,"4,042,761","4,017,220,012",North Corona                                                               
"Jobs & Internships, Youth Employment",Summer Youth Employment ,"Vannguard Urban Improvement Association, Inc. - Vulnerable Youth","613-619 Throop Avenue , 3rd Fl.",Brooklyn,11216,"Vannguard Urban Improvement Association, Inc. - Vulnerable Youth",718-453-3330,14 to 24,"613 619 Throop Avenue11216
(40.680758670876, -73.949267750906)",40.680919,-73.940518,3,36,273,"3,053,556","3,018,560,001",Stuyvesant Heights                                                         
Jobs & Internships,Adult Employment,Council of Jewish Organizations of Flatbush,1550 Coney Island Avenue,Brooklyn,11230,Council of Jewish Organizations of Flatbush,718.377.2900,,"1550 Coney Island Avenue11230
(40.619697574375, -73.964314154293)",40.619517,-73.964188,12,44,454,"3,171,988","3,065,460,011",Ocean Parkway South                                                        
Jobs & Internships,In-School Youth Employment (ISY),Public School 181 - John Steptoe School,1023 New York Avenue,Brooklyn,11203,Research Foundation of CUNY on behalf of Medgar Evers College,718.270.6908,,"1023 New York Avenue11203
(40.648253402035, -73.946344475373)",40.648215,-73.946374,17,45,856,"3,327,776","3,049,040,010",East Flatbush-Farragut                                                     
"Jobs & Internships, Youth Employment",Summer Youth Employment ,Brownsville Beacon PAL,985 Rockaway Ave,Brooklyn,11212,"Police Athletic League, Inc. - Brooklyn ",718-389-5309,14 to 24,"985 Rockaway Ave11212
(40.656451255408, -73.907322828305)",40.656068,-73.907245,16,42,922,"3,082,940","3,036,360,007",Brownsville                                                                
Jobs & Internships,In-School Youth Employment (ISY),Public School 1 - Bergen Elementary School,309 47 Street,Brooklyn,11220,SCO Family of Services,516.671.1253,,"309 47 Street11220
(40.649194277667, -74.012497228156)",40.649042,-74.012289,7,38,80,"3,011,821","3,007,550,022",Sunset Park West                                                           
Jobs & Internships,Out-of-School Youth Employment (OSY),"Church Avenue Merchants Block Association, Inc.",1957 Nostrand Ave,Brooklyn,11210,Church Avenue Merchant Block Association,718.462.4244,16 to 21,"2211 Church Avenue11226
(40.650446866784, -73.95854532388)",40.637711,-73.948159,17,45,788,"3,113,780","3,049,940,023",Flatbush                                                                   
Jobs & Internships,In-School Youth Employment (ISY),"Stanley M. Isaacs Neighborhood Center, Inc.",415 E. 93rd Street,New York,10128,"Stanley M. Isaacs Neighborhood Center, Inc.",212.360.7620,,"415 93rd Street10128
(40.7812386658, -73.945802764971)",40.780904,-73.945112,8,5,152,"1,082,367","1,015,730,001",Yorkville                                                                  
Jobs & Internships,In-School Youth Employment (ISY),LaGuardia Community College,31-10 Thomson Avenue,Queens,11101,Research Foundation of CUNY/LaGuardia Community College,718.270.6908,,"31 10 Thomson Avenue11101
(40.745702449808, -73.938669029252)",40.744902,-73.935022,2,26,179,"4,003,534","4,002,780,001",Hunters Point-Sunnyside-West Maspeth                                       
"Jobs & Internships, Youth Employment",Summer Youth Employment ,Brooklyn Neighborhood Improvement Association,"1482 St. Johns Place , Ste. 1F",Brooklyn,11213,Brooklyn Neighborhood Improvement Association,718-773-4116,14 to 24,"1482 St Johns Place11213
(40.670470593603, -73.929356130187)",40.670505,-73.92964,8,41,349,"3,037,114","3,013,850,028",Crown Heights North                                                        
Jobs & Internships,In-School Youth Employment (ISY),Police Athletic League (PAL),55 Layton Avenue,Queens,10301,"Police Athletic League, Inc.",212.477.6504,,"55 Layton Avenue10301
(40.641582326676, -74.085356500747)",40.641595,-74.085135,1,49,9,"5,001,150","5,000,490,182",West New Brighton-New Brighton-St. George                                  
Jobs & Internships,Adult Employment,Polonians Organized to Minister to Our Community,66-60 Fresh Pond Road,Queens,11385,Polonians Organized to Minister to Our Community,718.326.9098,,"66 60 Fresh Pond Road11385
(40.701224891615, -73.88334858437)",40.707192,-73.897292,5,30,587,"4,084,940","4,035,290,077",Ridgewood                                                                  
Jobs & Internships,Out-of-School Youth Employment (OSY),South Bronx Job Corps,1771 Andrews Avenue,Bronx,10453,Arbor Employment and Training,718.731.7686,16 to 21,"1771 Andrews Avenue10453
(40.85076866537, -73.916695383551)",40.850677,-73.91682,5,14,"21,501","2,094,551","2,028,780,150",University Heights-Morris Heights                                          
Jobs & Internships,Youth Employment,"Boys & Girls Harbor, Inc",1 East 104th Street,New York,10029,"Boys & Girls Harbor, Inc",212.427.2244,,"1 104th Street10029
(40.792983387231, -73.952000317419)",40.792888,-73.951826,11,8,168,"1,051,499","1,016,100,001",East Harlem South                                                          
Jobs & Internships,In-School Youth Employment (ISY),Bnos Ahavas Israel Viznitz,12 Franklin Street,Brooklyn,11222,National Society For Hebrew Day Schools,212.227.1000,,"12 Franklin Street11222
(40.725311184362, -73.957516366623)",40.725309,-73.957522,1,33,561,"3,065,477","3,026,140,003",Greenpoint                                                                 
